3.000000,0.003333,51.703994,51.703994,51.703994,51.703994,51.703994,51.703994,0.000000
4.000000,0.002500,81.824998,76.752590,76.752590,76.752590,76.752590,76.752590,0.000000
5.000000,0.002000,127.094861,115.714165,115.714165,120.807770,115.714165,115.714165,0.000000
6.000000,0.001667,206.202699,142.612885,137.985725,148.078744,137.985725,137.985725,0.000000
7.000000,0.001429,250.480762,200.595990,189.249418,206.430718,189.249418,189.249418,0.000000
8.000000,0.001250,399.761849,274.995258,224.288061,238.122645,224.288061,226.291226,0.000000
9.000000,0.001111,396.286057,278.346319,251.938252,278.409733,245.433535,245.604163,0.000000
10.000000,0.001000,545.461334,434.308780,286.337329,324.051622,286.337329,286.887480,0.000000
11.000000,0.000909,596.504974,477.592580,353.988362,381.996873,344.154455,345.519729,0.000000
12.000000,0.000833,796.191986,608.995016,383.100957,435.338375,377.102977,391.340165,0.000000
13.000000,0.000769,862.930948,667.691381,417.668803,475.833619,401.717749,403.732386,0.000000
14.000000,0.000714,1020.527519,803.522976,489.090420,553.647996,476.194424,488.617855,0.000000
15.000000,0.000667,1227.766267,966.946968,524.675109,596.369497,524.615914,543.405398,0.000000
16.000000,0.000625,1346.971128,1044.930457,540.534999,597.772295,533.673560,538.703577,0.000000
17.000000,0.000588,1294.612014,989.869491,616.544769,636.592891,691.575600,620.563654,0.000000
18.000000,0.000556,1938.393837,1347.134122,655.202905,844.586470,981.396169,655.202905,0.000000
19.000000,0.000526,2112.335791,1723.326423,791.191350,941.515016,1115.082613,871.961239,0.000000
